Year,Month,Underground Line,Temperature
2017,February,Victoria,21.7
2017,February,Waterloo_and_City,18.86
2017,February,Sub-surface_lines,13.3
2017,March,Bakerloo,25.66
2017,March,Central,24.29
2017,March,Jubilee,20.56
2017,March,Northern,23.09
2017,March,Piccadilly,21.28
2017,March,Victoria,23.63
2017,March,Waterloo_and_City,20.46
2017,March,Sub-surface_lines,15.98
2017,April,Bakerloo,26.7
2017,April,Central,25.59
2017,April,Jubilee,22.82
2017,April,Northern,24.1
2017,April,Piccadilly,22.67
2017,April,Victoria,23.96
2017,April,Waterloo_and_City,21.25
2017,April,Sub-surface_lines,17.79
2017,May,Bakerloo,27.66
2017,May,Central,26.95
2017,May,Jubilee,23.69
2017,May,Northern,25.02
2017,May,Piccadilly,23.82
2017,May,Victoria,25.4
2017,May,Waterloo_and_City,22.53
2017,May,Sub-surface_lines,20.26
2017,June,Bakerloo,29.99
2017,June,Central,29.76
2017,June,Jubilee,25.96
2017,June,Northern,27.3
2017,June,Piccadilly,26.35
2017,June,Victoria,27.65
2017,June,Waterloo_and_City,24.91
2017,June,Sub-surface_lines,24.15
2017,July,Bakerloo,30.87
2017,July,Central,30.61
2017,July,Jubilee,26.56
2017,July,Northern,28.15
2017,July,Piccadilly,27.18
2017,July,Victoria,28.54
2017,July,Waterloo_and_City,25.53
2017,July,Sub-surface_lines,24.67
2017,August,Bakerloo,30.3
2017,August,Central,30.02
2017,August,Jubilee,25.89
2017,August,Northern,27.88
2017,August,Piccadilly,26.81
2017,August,Victoria,28.18
2017,August,Waterloo_and_City,25.17
2017,August,Sub-surface_lines,23.57
2017,September,Bakerloo,29.42
2017,September,Central,28.8
2017,September,Jubilee,24.92
2017,September,Northern,27.04
2017,September,Piccadilly,25.69
2017,September,Victoria,27.51
2017,September,Waterloo_and_City,24.2
2017,September,Sub-surface_lines,24.35
2017,October,Bakerloo,28.36
2017,October,Central,27.87
2017,October,Jubilee,24.33
2017,October,Northern,26.37
2017,October,Piccadilly,24.67
2017,October,Victoria,28.04
2017,October,Waterloo_and_City,23.5
2017,October,Sub-surface_lines,23.18
2017,November,Bakerloo,26.22
2017,November,Central,25.24
2017,November,Jubilee,22.53
2017,November,Northern,24.13
2017,November,Piccadilly,22.34
